ID,author,author_id,year,title,booktitle/journal+editor+publisher,pages,type,note_lang,note_theme,pdf_link,url,DOI,ISBN/eISBN,annotator,,,,,
13,"Ландер, Юрий Александрович and Багирокова, Ирина Гаруновна","lander-y, bagirokova-i",2021,"Цилитивы (‘легко’ и ‘трудно’) в адыгейском языке: семантика, аргументная структура и частеречные характеристики",Рема. 2021. № 1.,56–75,Статья,адыгейский,"морфосинтаксис, грамматическая семантика",https://publications.hse.ru/pubs/share/direct/412064754.pdf,https://doi.org/10.31862/2500-2953-2021-1-56-75,10.31862/2500-2953-2021-1-56-75,,Кумараге,,,,,
14,"Lander, Yury",lander-y,2021,Morphology in Northwest Caucasian languages," The Oxford Encyclopedia of Morphology. / Ed. by R. Lieber. Oxford: Oxford University Press, 2021.",2089–2108,Глава книги,,морфосинтаксис,to_find,https://doi.org/10.1093/acref/9780190682361.001.0001,10.1093/acref/9780190682361.001.0001,9.78019E+12,Кумараге,,,,,
15,"Lander, Yury",lander-y,2020,Morphology in Northwest Caucasian languages,"Oxford Research Encyclopedia of Linguistics (Living Edition). / Ed. by M. Aronoff. Oxford: Oxford University Press, 2020.",,Глава книги,,морфосинтаксис,to_find,https://doi.org/10.1093/acrefore/9780199384655.013.630,10.1093/acrefore/9780199384655.013.630,,Кумараге,,,,,
16,"Lander, Yury and Arkadiev, Peter","lander-y, arkadiev-p",2020,The Northwest Caucasian languages,"The Oxford Handbook of Languages of the Caucasus. / Ed. by M. Polinsky. Oxford: Oxford University Press, 2020.",369–446,Глава книги,"кабардинский, адыгейский, убыхский, абхазский, абазинский","грамматическая семантика, морфосинтаксис, семантика, фонетика/фонология, экстралингвистичекие",to_find,https://doi.org/10.1093/oxfordhb/9780190690694.013.3,10.1093/oxfordhb/9780190690694.013.3,,Кумараге,,,,,
17,"Ландер, Юрий Александрович and Багирокова, Ирина Гаруновна and Архангельский, Тимофей Александрович","lander-y, bagirokova-i, arkhangelsky-t",2019,Некоторые особенности адыгейского электронного корпуса,"Кавказская филология: история и перспективы. К 90-летию Мухадина Абубекировича Кумахова: сборник научных статей. / Науч. ред.: Б. Ч. Бижоев. Нальчик: ИГИ КБНЦ РАН, 2019.",198–206,Глава книги,адыгейский,корпусная лингвистика,https://publications.hse.ru/pubs/share/direct/298417354.PDF,https://publications.hse.ru/chapters/298417358,to_find,978-5-91766-157-5,Кумараге,,,,,
18,"Ландер, Юрий Александрович and Багирокова, Ирина Гаруновна","lander-y, bagirokova-i",2018,Выражение боли и смежных значений в адыгейском языке: лексика и морфосинтаксис,"Выражение боли и смежных значений в адыгейском языке: лексика и морфосинтаксис // В кн. : Труды Института востоковедения РАН. / Отв. ред.: З. М. Шаляпина. Сост.: А. С. Панина. Вып. 19: Проблемы общей и востоковедной лингвистики: Лексикология и лексикография М.: Институт востоковедения РАН, 2018.",394–411,Глава книги,адыгейский,"лексика, морфосинтаксис, семантика",https://publications.hse.ru/pubs/share/direct/229387806.pdf,https://publications.hse.ru/chapters/229388009,to_find,,Кумараге,,,,,
19,"Ландер, Юрий Александрович and Багирокова, Ирина Гаруновна","lander-y, bagirokova-i",2018,Лексические и грамматические характеристики специализированных глаголов поиска и нахождения в адыгейском языке,"Лексические и грамматические характеристики специализированных глаголов поиска и нахождения в адыгейском языке // В кн. : ЕВРика! Сборник статей о поисках и находках к юбилею Е.В. Рахилиной. / Под общ. ред.: Д. А. Рыжова, Н. Р. Добрушина, А. А. Бонч-Осмоловская, А. С. Выренкова, М. В. Кюсева, Б. В. Орехов, Т. И. Резникова. М.: Лабиринт, 2018.",79–99,Глава книги,адыгейский,"лексика, морфосинтаксис",https://publications.hse.ru/pubs/share/direct/216256516.pdf,https://publications.hse.ru/chapters/216256540,to_find,,Кумараге,,,,,
20,"Lander, Yury and Testelets, Yakov","lander-y, testelets-y",2017,Adyghe,"The Oxford Handbook of Polysynthesis. / Ed. by M. Fortescue, N. Evans, M. Mithun. Oxford: Oxford University Press, 2017.",948–970,Глава книги,адыгейский,морфосинтаксис,to_find,https://doi.org/10.1093/oxfordhb/9780199683208.001.0001,10.1093/oxfordhb/9780199683208.001.0001,9.7802E+12,Кумараге,,,,,
21,"Lander, Yury and Bagirokova, Irina","lander-y, bagirokova-i",2017,Demorphologization of the nominal complex in Circassian,"Demorphologization of the nominal complex in Circassian // В кн. : Historical Linguistics of the Caucasus: Book of abstracts. Paris, 12-14 April, 2017 / Историческое изучение языков Кавказа. Тезисы докладов Международной научной конференции. Париж, 12-14 апреля 2017 г. / Сост.: Т. А. Майсак. Махачкала: ИЯЛИ ДНЦ РАН, 2017. ",24–25,Тезисы,адыгейский,морфосинтаксис,to_find,https://publications.hse.ru/chapters/210427998,to_find,,Кумараге,,,,,
22,"Lander, Yury",lander-y,2017,Nominal complex in West Circassian: between morphology and syntax,Nominal complex in West Circassian: between morphology and syntax // Studies in Language. 2017. Vol. 41. No. 1.,76–97,Статья,адыгейский,"грамматическая семантика, морфосинтаксис",to_find,https://doi.org/10.1075/sl.41.1.03lan,10.1075/sl.41.1.03lan,,Кумараге,,,,,
